客户名称,工作号,出仓登记时间,出仓件数,库房名称,业务员
Cushy Inc.,,2023-10-20T14:19:31.000Z,9,NJ9,Jack
Cushy Inc.,,2023-10-20T15:01:34.000Z,6,NJ9,Jack
Cushy Inc.,,2023-10-18T21:11:01.000Z,10,NJ9,Jack
Cushy Inc.,,2023-10-18T21:09:50.000Z,12,NJ9,Jack
Cushy Inc.,,2023-10-18T21:11:47.000Z,9,NJ9,Jack
Cushy Inc.,,2023-10-20T15:02:13.000Z,9,NJ9,Jack
Cushy Inc.,,2023-10-20T15:00:46.000Z,1,NJ9,Jack
EVA Groups Inc.,,2023-10-16T14:35:37.000Z,3,8828 Houston,客服2
EVA Groups Inc.,,2023-10-16T14:35:33.000Z,3,8828 Houston,客服2
AESPORT INTERNATIONAL LIMITED,,2023-10-16T17:00:50.000Z,1,WNT485,客服2
KTGWorldWide,,2023-10-13T23:36:08.000Z,273,NJ9,
NSC NINGBO,,2023-10-13T23:27:00.000Z,4,20450,bill
KTGWorldWide,,2023-10-13T23:28:56.000Z,167,NJ9,
KTGWorldWide,,2023-10-13T23:24:02.000Z,126,NJ9,
KTGWorldWide,,2023-10-13T23:20:13.000Z,15,NJ9,
AESPORT INTERNATIONAL LIMITED,,2023-10-13T23:24:13.000Z,1,WNT485,客服2
Mega Home Inc.,,2023-10-16T15:41:03.000Z,174,PDX,客服2
"FUJITSU GENERAL AMERICA, INC.",,2023-10-13T22:32:36.000Z,156,NJ9,
Mega Home Inc.,,2023-10-16T15:41:29.000Z,3,PDX,客服2
KTGWorldWide,,2023-10-13T22:22:32.000Z,23,NJ9,
Mega Home Inc.,,2023-10-16T15:42:06.000Z,18,PDX,客服2
Mega Home Inc.,,2023-10-13T21:53:57.000Z,252,PDX,客服2
Mega Home Inc.,,2023-10-13T22:02:50.000Z,4,PDX,客服2
Homeangel,,2023-10-14T01:33:40.000Z,22,WNT485,wang chen
EVA Groups Inc.,,2023-10-17T16:44:42.000Z,2,8828 Houston,客服2
Mega Home Inc.,,2023-10-13T20:04:03.000Z,127,PDX,客服2
Mega Home Inc.,,2023-10-13T18:39:41.000Z,156,PDX,客服2
Mega Home Inc.,,2023-10-13T17:11:39.000Z,95,PDX,客服2
Mega Home Inc.,,2023-10-13T17:02:55.000Z,108,PDX,客服2
Homeangel,,2023-10-14T01:33:28.000Z,22,WNT485,wang chen
Mega Home Inc.,,2023-10-13T16:49:44.000Z,21,PDX,客服2
Homeangel,,2023-10-14T01:32:53.000Z,264,WNT485,wang chen
Mega Home Inc.,,2023-10-13T16:30:04.000Z,43,PDX,客服2
Mega Home Inc.,,2023-10-13T16:07:26.000Z,15,PDX,客服2
Vegogarden,,2023-10-31T18:55:00.000Z,20,20450,yao
Mega Home Inc.,,2023-10-13T15:53:46.000Z,36,PDX,客服2
Vegogarden,,2023-10-31T18:29:20.000Z,8,20450,yao
Vegogarden,,2023-10-31T18:29:08.000Z,41,WNT485,yao
Vegogarden,,2023-10-31T18:28:56.000Z,41,20450,yao
Mega Home Inc.,,2023-10-13T15:42:17.000Z,9,PDX,客服2
EVA Groups Inc.,,2023-10-17T19:58:52.000Z,11,8828 Houston,客服2
DTI Direct Inc.,,2023-10-13T23:05:45.000Z,167,NJ9,
EVA Groups Inc.,,2023-10-17T19:58:45.000Z,3,8828 Houston,客服2
EVA Groups Inc.,,2023-10-17T19:58:40.000Z,18,8828 Houston,客服2
EVA Groups Inc.,,2023-10-17T19:58:34.000Z,1,8828 Houston,客服2
EVA Groups Inc.,,2023-10-17T19:58:28.000Z,2,8828 Houston,客服2
EVA Groups Inc.,,2023-10-17T19:58:16.000Z,10,8828 Houston,客服2
EVA Groups Inc.,,2023-10-17T19:58:11.000Z,11,8828 Houston,客服2
DTI Direct Inc.,,2023-10-13T23:07:47.000Z,48,NJ9,
EVA Groups Inc.,,2023-10-17T19:58:06.000Z,2,8828 Houston,客服2
EVA Groups Inc.,,2023-10-17T19:58:01.000Z,5,8828 Houston,客服2
KTGWorldWide,,2023-10-13T14:00:43.000Z,23,3270,
EVA Groups Inc.,,2023-10-17T19:57:56.000Z,5,8828 Houston,客服2
DTI Direct Inc.,,2023-10-13T23:09:55.000Z,11,NJ9,
EVA Groups Inc.,,2023-10-17T19:57:50.000Z,9,8828 Houston,客服2
星辰时代有限公司,,2023-10-18T21:55:46.000Z,1,WNT485,客服2
Saving Mall LLC,,2023-10-13T17:55:24.000Z,4,WNT485,客服2
KTGWorldWide,,2023-10-24T00:41:08.000Z,97,WNT485,
Hesung Innovation Corp,,2023-10-13T00:18:53.000Z,6,WNT485,yao
Mega Home Inc.,,2023-10-12T21:49:45.000Z,147,PDX,客服2
"FUJITSU GENERAL AMERICA, INC.",,2023-10-13T23:05:33.000Z,366,NJ9,
DTI Direct Inc.,,2023-10-19T21:30:54.000Z,1,NJ9,
Homeangel,,2023-10-12T23:53:23.000Z,11,WNT485,wang chen
KTGWorldWide,,2023-10-14T00:18:23.000Z,14,WNT485,
Mega Home Inc.,,2023-10-13T16:50:45.000Z,140,PDX,客服2
Cushy Inc.,,2023-10-13T23:01:33.000Z,1,NJ9,Jack
Homeangel,,2023-10-12T23:52:55.000Z,26,WNT485,wang chen
Vegogarden,,2023-10-31T18:41:57.000Z,2,20450,yao
Mega Home Inc.,,2023-10-12T18:50:00.000Z,142,PDX,客服2
Homeangel,,2023-10-12T23:49:50.000Z,373,WNT485,wang chen
EVA Groups Inc.,,2023-10-16T19:12:12.000Z,1,8828 Houston,客服2
Vegogarden,,2023-10-31T18:28:35.000Z,65,20450,yao
Vegogarden,,2023-10-31T18:28:09.000Z,23,WNT485,yao
EVA Groups Inc.,,2023-10-16T19:12:17.000Z,1,8828 Houston,客服2
Vegogarden,,2023-10-31T18:27:57.000Z,23,20450,yao
Mega Home Inc.,,2023-10-12T18:45:33.000Z,89,PDX,客服2
EVA Groups Inc.,,2023-10-13T15:48:12.000Z,2,8828 Houston,客服2
Mega Home Inc.,,2023-10-12T18:43:50.000Z,201,PDX,客服2
"FUJITSU GENERAL AMERICA, INC.",,2023-10-12T14:29:51.000Z,709,NJ9,
DTI Direct Inc.,,2023-10-13T23:03:59.000Z,72,NJ9,
星辰时代有限公司,,2023-10-13T17:31:31.000Z,2,PDX,客服2
Saving Mall LLC,,2023-10-13T17:55:35.000Z,1,WNT485,客服2
Saving Mall LLC,,2023-10-13T17:55:41.000Z,1,WNT485,客服2
AESPORT INTERNATIONAL LIMITED,,2023-10-12T03:43:17.000Z,2,NJ9,客服2
AESPORT INTERNATIONAL LIMITED,,2023-10-12T03:44:08.000Z,2,WNT485,客服2
KTGWorldWide,,2023-10-11T23:36:16.000Z,17,NJ9,
KTGWorldWide,,2023-10-11T23:33:21.000Z,2,NJ9,
KTGWorldWide,,2023-10-11T23:33:54.000Z,2,NJ9,
KTGWorldWide,,2023-10-11T23:29:16.000Z,2,NJ9,
Mega Home Inc.,,2023-10-11T23:36:36.000Z,193,PDX,客服2
Mega Home Inc.,,2023-10-11T23:38:11.000Z,198,PDX,客服2
Mega Home Inc.,,2023-10-11T23:38:54.000Z,188,PDX,客服2
Cushy Inc.,,2023-10-17T17:20:53.000Z,12,WNT485,Jack
Cushy Inc.,,2023-10-14T01:59:18.000Z,6,WNT485,Jack
Cushy Inc.,,2023-10-17T17:21:48.000Z,14,WNT485,Jack
Cushy Inc.,,2023-10-14T02:11:31.000Z,10,WNT485,Jack
Cushy Inc.,,2023-10-14T02:15:52.000Z,10,WNT485,Jack
Cushy Inc.,,2023-10-14T02:12:24.000Z,9,WNT485,Jack
Cushy Inc.,,2023-10-14T02:12:50.000Z,14,WNT485,Jack
Mega Home Inc.,,2023-10-11T23:39:38.000Z,205,PDX,客服2
Cushy Inc.,,2023-10-14T02:11:59.000Z,9,WNT485,Jack
Cushy Inc.,,2023-10-14T02:16:16.000Z,13,WNT485,Jack
Cushy Inc.,,2023-10-14T02:14:25.000Z,6,WNT485,Jack
Cushy Inc.,,2023-10-14T02:15:12.000Z,4,WNT485,Jack
Cushy Inc.,,2023-10-14T01:58:40.000Z,14,WNT485,Jack
Homeangel,,2023-10-12T02:37:12.000Z,15,WNT485,wang chen
Mega Home Inc.,,2023-10-11T23:40:29.000Z,167,PDX,客服2
Vegogarden,,2023-10-31T18:41:46.000Z,3,20450,yao
EVA Groups Inc.,,2023-10-18T18:56:16.000Z,3,8828 Houston,客服2
Cushy Inc.,,2023-10-26T21:58:40.000Z,29,WNT485,Jack
Mega Home Inc.,,2023-10-11T23:41:37.000Z,179,PDX,客服2
EVA Groups Inc.,,2023-10-18T18:56:10.000Z,5,8828 Houston,客服2
Vegogarden,,2023-10-31T18:46:52.000Z,16,20450,yao
Cushy Inc.,,2023-10-14T02:13:27.000Z,14,WNT485,Jack
EVA Groups Inc.,,2023-10-18T18:56:04.000Z,13,8828 Houston,客服2
EVA Groups Inc.,,2023-10-18T18:55:59.000Z,1,8828 Houston,客服2
EVA Groups Inc.,,2023-10-18T18:55:53.000Z,2,8828 Houston,客服2
Vegogarden,,2023-10-31T18:27:42.000Z,101,20450,yao
EVA Groups Inc.,,2023-10-18T18:55:48.000Z,5,8828 Houston,客服2
Mega Home Inc.,,2023-10-11T23:43:45.000Z,30,PDX,客服2
Vegogarden,,2023-10-31T18:27:27.000Z,78,20450,yao
Cushy Inc.,,2023-10-14T02:13:59.000Z,20,WNT485,Jack
Cushy Inc.,,2023-10-13T23:02:35.000Z,6,NJ9,Jack
EVA Groups Inc.,,2023-10-18T18:55:43.000Z,6,8828 Houston,客服2
EVA Groups Inc.,,2023-10-18T18:55:35.000Z,2,8828 Houston,客服2
Homeangel,,2023-10-12T02:36:59.000Z,51,WNT485,wang chen
EVA Groups Inc.,,2023-10-18T18:55:30.000Z,6,8828 Houston,客服2
Cushy Inc.,,2023-10-13T22:58:09.000Z,14,NJ9,Jack
EVA Groups Inc.,,2023-10-18T18:55:25.000Z,5,8828 Houston,客服2
EVA Groups Inc.,,2023-10-18T18:55:20.000Z,8,8828 Houston,客服2
Homeangel,,2023-10-12T02:36:33.000Z,296,WNT485,wang chen
Mega Home Inc.,,2023-10-11T23:43:08.000Z,20,PDX,客服2
Cushy Inc.,,2023-10-14T02:08:31.000Z,9,WNT485,Jack
Cushy Inc.,,2023-10-13T01:49:16.000Z,1,WNT485,Jack
Mega Home Inc.,,2023-10-11T23:42:22.000Z,153,PDX,客服2
Mega Home Inc.,,2023-10-11T15:58:26.000Z,254,PDX,客服2
EVA Groups Inc.,,2023-10-13T15:12:28.000Z,2,8828 Houston,客服2
DTI Direct Inc.,,2023-10-11T13:28:10.000Z,3,NJ9,
KTGWorldWide,,2023-10-11T13:22:18.000Z,5,NJ9,
KTGWorldWide,,2023-10-11T12:15:49.000Z,11,3270,
深圳市六趣电子商务有限公司,,2023-10-13T21:50:10.000Z,250,20301 洛杉矶,客服2
广州亦延贸易有限公司,,2023-10-17T01:38:43.000Z,29,WNT485,客服2
广州亦延贸易有限公司,,2023-10-17T01:38:36.000Z,11,WNT485,客服2
KTGWorldWide,,2023-10-17T01:18:03.000Z,178,WNT485,
KTGWorldWide,,2023-10-17T01:14:17.000Z,206,WNT485,
星辰时代有限公司,,2023-10-11T21:39:43.000Z,1,PDX,客服2
KTGWorldWide,,2023-10-10T23:31:27.000Z,81,NJ9,
KTGWorldWide,,2023-10-10T23:28:04.000Z,12,NJ9,
KTGWorldWide,,2023-10-10T23:25:30.000Z,8,NJ9,
KTGWorldWide,,2023-10-10T23:22:38.000Z,7,NJ9,
KTGWorldWide,,2023-10-10T23:20:21.000Z,26,NJ9,
KTGWorldWide,,2023-10-10T20:56:04.000Z,12,3270,
Mega Home Inc.,,2023-10-11T15:59:14.000Z,171,PDX,客服2
KTGWorldWide,,2023-10-10T20:44:15.000Z,12,3270,
Homeangel,,2023-10-11T00:41:26.000Z,12,WNT485,wang chen
Mega Home Inc.,,2023-10-10T20:59:55.000Z,24,PDX,客服2
Mega Home Inc.,,2023-10-10T20:59:27.000Z,82,PDX,客服2
Mega Home Inc.,,2023-10-10T20:58:18.000Z,32,PDX,客服2
Mega Home Inc.,,2023-10-10T20:57:35.000Z,114,PDX,客服2
Vegogarden,,2023-10-31T18:41:30.000Z,1,20450,yao
EVA Groups Inc.,,2023-10-23T16:01:01.000Z,1,8828 Houston,客服2
Vegogarden,,2023-10-31T18:27:05.000Z,192,20450,yao
Cushy Inc.,,2023-10-12T02:53:47.000Z,8,WNT485,Jack
Vegogarden,,2023-10-31T18:26:50.000Z,12,20450,yao
EVA Groups Inc.,,2023-10-23T16:00:53.000Z,4,8828 Houston,客服2
Cushy Inc.,,2023-10-12T02:52:14.000Z,6,WNT485,Jack
Cushy Inc.,,2023-10-12T02:52:39.000Z,9,WNT485,Jack
EVA Groups Inc.,,2023-10-20T15:19:50.000Z,3,8828 Houston,客服2
Homeangel,,2023-10-11T00:39:01.000Z,371,WNT485,wang chen
EVA Groups Inc.,,2023-10-23T16:01:10.000Z,2,8828 Houston,客服2
EVA Groups Inc.,,2023-10-23T16:01:17.000Z,3,8828 Houston,客服2
EVA Groups Inc.,,2023-10-20T15:19:42.000Z,4,8828 Houston,客服2
EVA Groups Inc.,,2023-10-23T16:01:23.000Z,6,8828 Houston,客服2
EVA Groups Inc.,,2023-10-20T15:19:13.000Z,5,8828 Houston,客服2
Cushy Inc.,,2023-10-12T02:53:01.000Z,12,WNT485,Jack
EVA Groups Inc.,,2023-10-23T16:01:31.000Z,1,8828 Houston,客服2
EVA Groups Inc.,,2023-10-23T16:01:44.000Z,7,8828 Houston,客服2
"FUJITSU GENERAL AMERICA, INC.",,2023-10-10T15:18:19.000Z,728,NJ9,
EVA Groups Inc.,,2023-10-20T15:19:25.000Z,4,8828 Houston,客服2
EVA Groups Inc.,,2023-10-23T16:01:55.000Z,4,8828 Houston,客服2
EVA Groups Inc.,,2023-10-20T15:19:01.000Z,1,8828 Houston,客服2
EVA Groups Inc.,,2023-10-20T15:18:54.000Z,7,8828 Houston,客服2
EVA Groups Inc.,,2023-10-20T15:18:44.000Z,5,8828 Houston,客服2
EVA Groups Inc.,,2023-10-23T16:02:03.000Z,1,8828 Houston,客服2
EVA Groups Inc.,,2023-10-20T15:18:29.000Z,19,8828 Houston,客服2
星辰时代有限公司,,2023-10-13T17:58:47.000Z,1,PDX,客服2
Premier Home Decor Inc,,2023-10-24T00:27:07.000Z,28,WNT485,S willa
Premier Home Decor Inc,,2023-10-24T00:27:02.000Z,28,WNT485,S willa
Premier Home Decor Inc,,2023-10-24T00:26:58.000Z,8,WNT485,S willa
Premier Home Decor Inc,,2023-10-24T00:26:53.000Z,12,WNT485,S willa
Premier Home Decor Inc,,2023-10-24T00:26:48.000Z,23,WNT485,S willa
"FUJITSU GENERAL AMERICA, INC.",,2023-10-09T23:52:07.000Z,975,NJ9,
恩腾运动科技香港有限公司,,2023-10-13T22:23:50.000Z,7,NJ9,客服2
Homeangel,,2023-10-10T00:03:11.000Z,10,WNT485,wang chen
Vegogarden,,2023-10-31T18:41:19.000Z,1,20450,yao
Vegogarden,,2023-10-31T18:41:01.000Z,6,20450,yao
KTGWorldWide,,2023-10-09T18:03:13.000Z,14,WNT485,
Homeangel,,2023-10-10T00:04:29.000Z,899,WNT485,wang chen
Vegogarden,,2023-10-31T18:26:35.000Z,11,20450,yao
Vegogarden,,2023-10-31T18:26:20.000Z,170,20450,yao
浙江乾诚供应链管理有限公司,,2023-10-17T00:06:29.000Z,95,芝加哥 360,客服2
广州亦延贸易有限公司,,2023-10-17T01:38:25.000Z,9,WNT485,客服2
广州亦延贸易有限公司,,2023-10-17T01:38:13.000Z,7,WNT485,客服2
广州亦延贸易有限公司,,2023-10-17T01:37:59.000Z,4,WNT485,客服2
广州亦延贸易有限公司,,2023-10-17T01:37:30.000Z,20,WNT485,客服2
广州亦延贸易有限公司,,2023-10-17T01:37:22.000Z,16,WNT485,客服2
广州亦延贸易有限公司,,2023-10-17T01:37:02.000Z,8,WNT485,客服2
广州亦延贸易有限公司,,2023-10-14T00:25:32.000Z,101,WNT485,客服2
广州亦延贸易有限公司,,2023-10-14T00:23:35.000Z,32,WNT485,客服2
广州亦延贸易有限公司,,2023-10-17T02:30:11.000Z,16,WNT485,客服2
广州亦延贸易有限公司,,2023-10-14T00:21:37.000Z,33,WNT485,客服2
广州亦延贸易有限公司,,2023-10-17T02:30:18.000Z,10,WNT485,客服2
ANJ INTERNATIONAL LLC,,2023-10-20T18:49:16.000Z,26,20450,yao
ANJ INTERNATIONAL LLC,,2023-10-20T18:49:04.000Z,31,20450,yao
ANJ INTERNATIONAL LLC,,2023-10-20T18:48:52.000Z,32,20450,yao
星辰时代有限公司,,2023-10-09T19:06:17.000Z,1,8828 Houston,客服2
星辰时代有限公司,,2023-10-09T19:06:12.000Z,2,8828 Houston,客服2
星辰时代有限公司,,2023-10-09T19:06:06.000Z,1,8828 Houston,客服2
星辰时代有限公司,,2023-10-09T19:06:02.000Z,3,8828 Houston,客服2
星辰时代有限公司,,2023-10-09T19:05:57.000Z,1,8828 Houston,客服2
星辰时代有限公司,,2023-10-13T19:00:54.000Z,1,PDX,客服2
厦门馨天达企业发展有限公司,,2023-10-10T20:11:12.000Z,1,20450,客服2
深圳市六趣电子商务有限公司,,2023-10-12T20:08:12.000Z,591,20301 洛杉矶,客服2
Zhile Holdings Group (HK) Limited,,2023-10-13T17:22:04.000Z,3,PDX,客服2
Zhile Holdings Group (HK) Limited,,2023-10-13T17:21:58.000Z,2,PDX,客服2
星辰时代有限公司,,2023-10-10T21:13:33.000Z,1,PDX,客服2
星辰时代有限公司,,2023-10-10T22:46:21.000Z,1,PDX,客服2
星辰时代有限公司,,2023-10-10T20:19:56.000Z,2,PDX,客服2
"FUJITSU GENERAL AMERICA, INC.",,2023-10-06T20:19:59.000Z,96,NJ9,
KTGWorldWide,,2023-10-06T20:17:45.000Z,26,NJ9,
KTGWorldWide,,2023-10-06T20:16:03.000Z,15,NJ9,
Homeangel,,2023-10-07T01:11:34.000Z,17,WNT485,wang chen
Mega Home Inc.,,2023-10-06T20:16:55.000Z,1,PDX,客服2
ANJ INTERNATIONAL LLC,,2023-10-20T18:48:34.000Z,103,20450,yao
Mega Home Inc.,,2023-10-06T20:16:41.000Z,14,PDX,客服2
ANJ INTERNATIONAL LLC,,2023-10-20T18:48:16.000Z,97,20450,yao
ANJ INTERNATIONAL LLC,,2023-10-20T18:48:02.000Z,44,20450,yao
Homeangel,,2023-10-07T01:11:08.000Z,259,WNT485,wang chen
Homeangel,,2023-10-07T01:10:18.000Z,60,WNT485,wang chen
Vegogarden,,2023-10-31T18:26:04.000Z,29,20450,yao
Vegogarden,,2023-10-31T18:25:47.000Z,180,20450,yao
星辰时代有限公司,,2023-10-06T15:33:11.000Z,3,8828 Houston,客服2
星辰时代有限公司,,2023-10-06T15:33:05.000Z,2,8828 Houston,客服2
星辰时代有限公司,,2023-10-06T15:55:45.000Z,1,8828 Houston,客服2
AESPORT INTERNATIONAL LIMITED,,2023-10-06T15:51:14.000Z,1,WNT485,客服2
Mega Home Inc.,,2023-10-06T15:39:55.000Z,6,PDX,客服2
Mega Home Inc.,,2023-10-06T15:39:29.000Z,7,PDX,客服2
Mega Home Inc.,,2023-10-06T15:38:47.000Z,10,PDX,客服2
Mega Home Inc.,,2023-10-06T15:38:04.000Z,6,PDX,客服2
Mega Home Inc.,,2023-10-06T15:37:21.000Z,12,PDX,客服2
Mega Home Inc.,,2023-10-06T15:36:44.000Z,7,PDX,客服2
DTI Direct Inc.,,2023-10-05T20:11:13.000Z,3,NJ9,
Homeangel,,2023-10-06T00:35:01.000Z,9,WNT485,wang chen
DTI Direct Inc.,,2023-10-11T13:24:22.000Z,101,NJ9,
中山市德万网络科技有限公司,,2023-10-05T17:20:55.000Z,1,NJ9,wang chen
Vegogarden,,2023-10-31T18:25:22.000Z,4,20450,yao
Homeangel,,2023-10-06T00:35:10.000Z,22,WNT485,wang chen
Homeangel,,2023-10-06T00:36:12.000Z,296,WNT485,wang chen
星辰时代有限公司,,2023-10-06T17:48:42.000Z,2,PDX,客服2
"FUJITSU GENERAL AMERICA, INC.",,2023-10-05T14:56:07.000Z,96,NJ9,
Cushy Inc.,,2023-10-06T02:08:58.000Z,3,WNT485,Jack
EVA Groups Inc.,,2023-10-05T14:43:28.000Z,1,8828 Houston,客服2
KTGWorldWide,,2023-10-05T14:06:19.000Z,5,NJ9,
KTGWorldWide,,2023-10-05T14:04:26.000Z,140,NJ9,
星辰时代有限公司,,2023-10-05T14:43:18.000Z,1,8828 Houston,客服2
星辰时代有限公司,,2023-10-05T16:29:16.000Z,1,PDX,客服2
Cushy Inc.,,2023-10-12T02:51:02.000Z,22,WNT485,Jack
Mega Home Inc.,,2023-10-06T20:20:23.000Z,6,PDX,客服2
Homeangel,,2023-10-05T02:00:01.000Z,16,WNT485,wang chen
Hesung Innovation Corp,,2023-10-04T18:07:43.000Z,110,WNT485,yao
Cushy Inc.,,2023-10-07T01:42:01.000Z,7,WNT485,Jack
Cushy Inc.,,2023-10-07T01:25:57.000Z,9,WNT485,Jack
"FUJITSU GENERAL AMERICA, INC.",,2023-10-04T17:37:54.000Z,144,NJ9,
Cushy Inc.,,2023-10-07T01:25:28.000Z,7,WNT485,Jack
Cushy Inc.,,2023-10-07T01:28:35.000Z,6,WNT485,Jack
Cushy Inc.,,2023-10-10T00:29:22.000Z,8,WNT485,Jack
KTGWorldWide,,2023-10-04T17:59:36.000Z,6,WNT485,
KTGWorldWide,,2023-10-04T17:29:17.000Z,69,NJ9,
Cushy Inc.,,2023-10-07T01:26:34.000Z,9,WNT485,Jack
KTGWorldWide,,2023-10-04T17:25:48.000Z,613,NJ9,
KTGWorldWide,,2023-10-04T17:09:10.000Z,12,NJ9,
Cushy Inc.,,2023-10-07T01:37:56.000Z,8,WNT485,Jack
Cushy Inc.,,2023-10-07T01:32:04.000Z,7,WNT485,Jack
KTGWorldWide,,2023-10-04T17:04:38.000Z,26,NJ9,
Homeangel,,2023-10-05T01:59:48.000Z,50,WNT485,wang chen
Homeangel,,2023-10-05T01:59:21.000Z,325,WNT485,wang chen
Mega Home Inc.,,2023-10-04T17:00:06.000Z,17,PDX,客服2
Cushy Inc.,,2023-10-12T02:51:26.000Z,15,WNT485,Jack
Cushy Inc.,,2023-10-14T02:10:50.000Z,8,WNT485,Jack
Cushy Inc.,,2023-10-07T01:38:23.000Z,6,WNT485,Jack
Cushy Inc.,,2023-10-07T01:14:24.000Z,7,WNT485,Jack
Cushy Inc.,,2023-10-07T01:38:43.000Z,6,WNT485,Jack
Cushy Inc.,,2023-10-07T01:40:55.000Z,8,WNT485,Jack
Cushy Inc.,,2023-10-07T01:39:04.000Z,6,WNT485,Jack
Cushy Inc.,,2023-10-07T01:41:33.000Z,6,WNT485,Jack
Cushy Inc.,,2023-10-07T01:27:21.000Z,10,WNT485,Jack
Cushy Inc.,,2023-10-07T01:27:43.000Z,14,WNT485,Jack
Cushy Inc.,,2023-10-07T01:41:13.000Z,9,WNT485,Jack
Cushy Inc.,,2023-10-07T01:37:28.000Z,9,WNT485,Jack
Cushy Inc.,,2023-10-07T01:16:12.000Z,12,WNT485,Jack
星辰时代有限公司,,2023-10-04T19:34:42.000Z,1,8828 Houston,客服2
Hesung Innovation Corp,,2023-10-04T06:22:48.000Z,467,20450,yao
Hesung Innovation Corp,,2023-10-04T06:22:51.000Z,160,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:25.000Z,188,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:50:30.000Z,676,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:25.000Z,593,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:50:32.000Z,869,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:29.000Z,458,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:33.000Z,96,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:36.000Z,30,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:25.000Z,35,20450,yao
Hesung Innovation Corp,,2023-10-04T06:22:25.000Z,57,WNT485,yao
Hesung Innovation Corp,,2023-10-04T16:15:10.000Z,57,WNT485,yao
Hesung Innovation Corp,,2023-10-04T07:37:30.000Z,49,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:49:49.000Z,43,WNT485,yao
Hesung Innovation Corp,,2023-10-04T15:56:16.000Z,36,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:23.000Z,34,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:50:15.000Z,30,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:28.000Z,27,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:21.000Z,26,WNT485,yao
Hesung Innovation Corp,,2023-10-04T15:56:03.000Z,16,WNT485,yao
Hesung Innovation Corp,,2023-10-04T07:37:41.000Z,13,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:21.000Z,8,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:49:50.000Z,4,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:50:03.000Z,351,WNT485,yao
Hesung Innovation Corp,,2023-10-04T07:37:28.000Z,233,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:49:49.000Z,194,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:49:44.000Z,171,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:50:16.000Z,92,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:40.000Z,84,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:49:53.000Z,76,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:49:47.000Z,69,WNT485,yao
Hesung Innovation Corp,,2023-10-04T16:14:16.000Z,65,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:31.000Z,47,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:28.000Z,45,WNT485,yao
Hesung Innovation Corp,,2023-10-04T16:14:09.000Z,35,WNT485,yao
Hesung Innovation Corp,,2023-10-04T07:37:27.000Z,31,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:38.000Z,25,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:32.000Z,189,WNT485,yao
Hesung Innovation Corp,,2023-10-04T16:14:00.000Z,94,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:50:09.000Z,30,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:33.000Z,128,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:49:55.000Z,107,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:37.000Z,72,WNT485,yao
Hesung Innovation Corp,,2023-10-04T07:37:29.000Z,25,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:50:01.000Z,2,WNT485,yao
Hesung Innovation Corp,,2023-10-04T07:37:38.000Z,6,WNT485,yao
Hesung Innovation Corp,,2023-10-04T07:37:30.000Z,16,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:39.000Z,434,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:42.000Z,347,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:38.000Z,231,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:23:05.000Z,7,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:41.000Z,288,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:37.000Z,122,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:52.000Z,6,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:22:42.000Z,4,WNT485,yao
Hesung Innovation Corp,,2023-10-04T06:49:55.000Z,3,WNT485,yao
